requirement_id,agents_section,normative_text,owner_gate,verification_id,status,evidence
REQ-MARK-SAFETY-CONFIG-001,AGENTS 30,"Synthetic/non-authoritative mark safety overrides are typed CFG booleans, file-first, and fail closed by default.",G02,verify-mark-safety-config,verified,crates/desktop-bridge/src/main.rs
REQ-IBKR-ACCOUNT-CONFIG-001,AGENTS 30,"Non-secret IBKR account identity is typed file-first configuration while credentials remain secret inputs.",G07,verify-ibkr-account-config,verified,crates/desktop-bridge/src/main.rs
REQ-IBKR-POLL-CONFIG-001,AGENTS 30,"IBKR conid and instrument polling identities are typed file-first positive values captured before worker creation.",G07,verify-ibkr-poll-config,verified,crates/desktop-bridge/src/main.rs
REQ-PYTHON-NETWORK-CONFIG-001,AGENTS 30,"Python worker network access is a typed file-first boolean, fail-closed by default, and injected before launch.",G03,verify-python-network-config,verified,crates/desktop-bridge/src/main.rs
REQ-UI-CANCEL-ALL-001,UI.md 11;120,"Orders surface provides one-motion access to cancel working orders through the existing command path with explicit confirmation.",G09,verify-ui-cancel-all,planned,TERMINAL.md
REQ-UI-CLOSE-DRAFT-001,UI.md 11;120,"Positions surface provides one-motion opposite-quantity close drafting without bypassing order preview/risk/confirmation.",G09,verify-ui-close-draft,planned,TERMINAL.md
REQ-UI-PROPOSAL-ESCAPE-001,AGENTS 30,"Provider/runtime strategy identifiers are escaped before compact proposal HTML rendering.",G09,verify-ui-proposal-escaping,planned,TERMINAL.md
REQ-UI-ORDER-A11Y-001,UI.md 11,"Dense order-list Cancel and Replace actions expose explicit side/instrument/quantity accessible names.",G09,verify-ui-order-a11y,planned,TERMINAL.md
REQ-UI-PROPOSAL-A11Y-001,UI.md 11,"Repeated strategy proposal actions expose explicit strategy-and-symbol accessible names for Draft, TWAP, and implementation-shortfall scheduling.",G09,verify-ui-proposal-a11y,planned,TERMINAL.md
REQ-UI-PROPOSAL-A11Y-NORM-001,AGENTS 50,"Repeated proposal and order actions have explicit context-bearing accessible names enforced by contract tests.",G09,verify-ui-proposal-a11y-norm,planned,TERMINAL.md
REQ-UI-PROPOSAL-PREVIEW-A11Y-001,UI.md 11,"Compact proposal-list Preview controls expose strategy-and-symbol accessible names.",G09,verify-ui-proposal-preview-a11y,planned,TERMINAL.md
REQ-UI-COMMAND-ESCAPE-001,AGENTS 49;50,"Command palette command identifiers and labels are escaped before rendering, including custom workspace entries.",G09,verify-ui-command-escape,planned,TERMINAL.md
REQ-UI-NEWS-STATE-001,PLAN G10;UI.md 9,"News feed exposes loading, provider-error-with-cache, and stale states while preserving bounded pagination and cursor continuity.",G10,verify-ui-news-state,planned,TERMINAL.md
REQ-UI-NEWS-RETRY-001,PLAN G10;UI.md 9,"News provider failures expose an actionable retry that reuses the failed request scope, symbol, and cursor.",G10,verify-ui-news-retry,planned,TERMINAL.md
REQ-UI-NEWS-CONTEXT-001,PLAN G10;AGENTS 15,"Initial news loads clear the prior feed before a symbol/timeframe/scope refresh; cursor pagination alone appends.",G10,verify-ui-news-context,planned,TERMINAL.md
REQ-UI-NEWS-RACE-001,PLAN G10,"Rapid initial news context changes queue the latest request instead of silently dropping it while a prior request is in flight.",G10,verify-ui-news-race,planned,TERMINAL.md
REQ-UI-NEWS-A11Y-001,UI.md 9;AGENTS 50,"Virtualized news Pin and Details controls expose article-specific accessible names with escaped titles.",G10,verify-ui-news-a11y,planned,TERMINAL.md
REQ-UI-NEWS-BUSY-001,AGENTS 50,"News feed exposes aria-busy during provider requests and context-specific retry labeling.",G10,verify-ui-news-busy-a11y,planned,TERMINAL.md
REQ-UI-NEWS-PROVIDER-001,PLAN G10,"News panel surfaces bounded provider health statuses alongside the feed without exposing credentials.",G10,verify-ui-news-provider-status,planned,TERMINAL.md
REQ-UI-NEWS-PROVIDER-STYLE-001,UI.md 2;5,"Provider health chips use text labels plus status glyphs and compact glass styling, never color alone.",G10,verify-ui-news-provider-style,planned,TERMINAL.md
REQ-UI-NEWS-TABS-A11Y-001,UI.md 9;AGENTS 50,"News view tabs expose a valid tab-to-tabpanel relationship for Relevant, All, Watchlist, and Portfolio views.",G10,verify-ui-news-tabs-a11y,planned,TERMINAL.md
REQ-UI-NEWS-TABS-KEYBOARD-001,UI.md 10;AGENTS 50,"News tabs implement roving focus and Arrow/Home/End keyboard navigation.",G10,verify-ui-news-tabs-keyboard,planned,TERMINAL.md
REQ-UI-NEWS-FILTER-PERSIST-001,AGENTS 48;PLAN G14,"Selected News view filter persists in a versioned presentation-only storage key and rejects invalid values.",G10,verify-ui-news-filter-persistence,planned,TERMINAL.md
REQ-UI-WORKSPACE-TABS-A11Y-001,UI.md 7;AGENTS 50,"Workspace tabs expose the controlled workspace region through an explicit aria-controls relationship.",G09,verify-ui-workspace-tabs-a11y,planned,TERMINAL.md
REQ-UI-WORKSPACE-PANEL-A11Y-001,UI.md 7;AGENTS 50,"Active workspace tab and workspace panel expose a stable labelled tabpanel relationship.",G09,verify-ui-workspace-panel-a11y,planned,TERMINAL.md
REQ-UI-RIGHT-DOCK-A11Y-001,UI.md 7;AGENTS 50,"Trading right-dock tabs expose an explicit tab-to-tabpanel relationship for Positions, Orders, Watchlist, and Alerts.",G09,verify-ui-right-dock-a11y,planned,TERMINAL.md
REQ-UI-RIGHT-DOCK-PERSIST-001,AGENTS 48,"Selected Trading right-dock tab persists in a versioned presentation-only key and rejects unknown values.",G09,verify-ui-right-dock-persistence,planned,TERMINAL.md
REQ-UI-WORKSPACE-TAB-NORMALIZE-001,AGENTS 19;48,"Workspace tab-order restore rewrites the validated fallback/order into the versioned storage key.",G09,verify-ui-workspace-tab-normalize,planned,TERMINAL.md
REQ-UI-CFG-NEWS-STALE-001,AGENTS 3;PLAN G10,"News stale threshold is CFG-driven, bounded to 60,000–3,600,000 ms, and generated without replacing unrelated settings.",G10,verify-ui-cfg-news-stale,planned,TERMINAL.md
REQ-UI-TAB-POSITION-001,AGENTS 50,"Dense News and workspace tablists expose bounded set-size and position metadata for assistive technology.",G09,verify-ui-tab-position,planned,TERMINAL.md
ACCEPT-A001,AGENTS Appendix B,"A001 acceptance requirement",G15,verify-acceptance-a001,planned,AGENTS.md
ACCEPT-A002,AGENTS Appendix B,"A002 acceptance requirement",G15,verify-acceptance-a002,planned,AGENTS.md
ACCEPT-A003,AGENTS Appendix B,"A003 acceptance requirement",G15,verify-acceptance-a003,planned,AGENTS.md
ACCEPT-A004,AGENTS Appendix B,"A004 acceptance requirement",G15,verify-acceptance-a004,planned,AGENTS.md
ACCEPT-A005,AGENTS Appendix B,"A005 acceptance requirement",G15,verify-acceptance-a005,planned,AGENTS.md
ACCEPT-A006,AGENTS Appendix B,"A006 acceptance requirement",G15,verify-acceptance-a006,planned,AGENTS.md
ACCEPT-A007,AGENTS Appendix B,"A007 acceptance requirement",G15,verify-acceptance-a007,planned,AGENTS.md
ACCEPT-A008,AGENTS Appendix B,"A008 acceptance requirement",G15,verify-acceptance-a008,planned,AGENTS.md
ACCEPT-A009,AGENTS Appendix B,"A009 acceptance requirement",G15,verify-acceptance-a009,planned,AGENTS.md
ACCEPT-A010,AGENTS Appendix B,"A010 acceptance requirement",G15,verify-acceptance-a010,planned,AGENTS.md
ACCEPT-A011,AGENTS Appendix B,"A011 acceptance requirement",G15,verify-acceptance-a011,planned,AGENTS.md
ACCEPT-A012,AGENTS Appendix B,"A012 acceptance requirement",G15,verify-acceptance-a012,planned,AGENTS.md
ACCEPT-A013,AGENTS Appendix B,"A013 acceptance requirement",G15,verify-acceptance-a013,planned,AGENTS.md
ACCEPT-A014,AGENTS Appendix B,"A014 acceptance requirement",G15,verify-acceptance-a014,planned,AGENTS.md
ACCEPT-A015,AGENTS Appendix B,"A015 acceptance requirement",G15,verify-acceptance-a015,planned,AGENTS.md
ACCEPT-A016,AGENTS Appendix B,"A016 acceptance requirement",G15,verify-acceptance-a016,planned,AGENTS.md
ACCEPT-A017,AGENTS Appendix B,"A017 acceptance requirement",G15,verify-acceptance-a017,planned,AGENTS.md
ACCEPT-A018,AGENTS Appendix B,"A018 acceptance requirement",G15,verify-acceptance-a018,planned,AGENTS.md
ACCEPT-A019,AGENTS Appendix B,"A019 acceptance requirement",G15,verify-acceptance-a019,planned,AGENTS.md
ACCEPT-A020,AGENTS Appendix B,"A020 acceptance requirement",G15,verify-acceptance-a020,planned,AGENTS.md
ACCEPT-A021,AGENTS Appendix B,"A021 acceptance requirement",G15,verify-acceptance-a021,planned,AGENTS.md
ACCEPT-A022,AGENTS Appendix B,"A022 acceptance requirement",G15,verify-acceptance-a022,planned,AGENTS.md
ACCEPT-A023,AGENTS Appendix B,"A023 acceptance requirement",G15,verify-acceptance-a023,planned,AGENTS.md
ACCEPT-A024,AGENTS Appendix B,"A024 acceptance requirement",G15,verify-acceptance-a024,planned,AGENTS.md
ACCEPT-A025,AGENTS Appendix B,"A025 acceptance requirement",G15,verify-acceptance-a025,planned,AGENTS.md
ACCEPT-A026,AGENTS Appendix B,"A026 acceptance requirement",G15,verify-acceptance-a026,planned,AGENTS.md
ACCEPT-A027,AGENTS Appendix B,"A027 acceptance requirement",G15,verify-acceptance-a027,planned,AGENTS.md
ACCEPT-A028,AGENTS Appendix B,"A028 acceptance requirement",G15,verify-acceptance-a028,planned,AGENTS.md
ACCEPT-A029,AGENTS Appendix B,"A029 acceptance requirement",G15,verify-acceptance-a029,planned,AGENTS.md
ACCEPT-A030,AGENTS Appendix B,"A030 acceptance requirement",G15,verify-acceptance-a030,planned,AGENTS.md
ACCEPT-A031,AGENTS Appendix B,"A031 acceptance requirement",G15,verify-acceptance-a031,planned,AGENTS.md
ACCEPT-A032,AGENTS Appendix B,"A032 acceptance requirement",G15,verify-acceptance-a032,planned,AGENTS.md
ACCEPT-A033,AGENTS Appendix B,"A033 acceptance requirement",G15,verify-acceptance-a033,planned,AGENTS.md
ACCEPT-A034,AGENTS Appendix B,"A034 acceptance requirement",G15,verify-acceptance-a034,planned,AGENTS.md
ACCEPT-A035,AGENTS Appendix B,"A035 acceptance requirement",G15,verify-acceptance-a035,planned,AGENTS.md
ACCEPT-A036,AGENTS Appendix B,"A036 acceptance requirement",G15,verify-acceptance-a036,planned,AGENTS.md
ACCEPT-A037,AGENTS Appendix B,"A037 acceptance requirement",G15,verify-acceptance-a037,planned,AGENTS.md
ACCEPT-A038,AGENTS Appendix B,"A038 acceptance requirement",G15,verify-acceptance-a038,planned,AGENTS.md
ACCEPT-A039,AGENTS Appendix B,"A039 acceptance requirement",G15,verify-acceptance-a039,planned,AGENTS.md
ACCEPT-A040,AGENTS Appendix B,"A040 acceptance requirement",G15,verify-acceptance-a040,planned,AGENTS.md
ACCEPT-A041,AGENTS Appendix B,"A041 acceptance requirement",G15,verify-acceptance-a041,planned,AGENTS.md
ACCEPT-A042,AGENTS Appendix B,"A042 acceptance requirement",G15,verify-acceptance-a042,planned,AGENTS.md
ACCEPT-A043,AGENTS Appendix B,"A043 acceptance requirement",G15,verify-acceptance-a043,planned,AGENTS.md
ACCEPT-A044,AGENTS Appendix B,"A044 acceptance requirement",G15,verify-acceptance-a044,planned,AGENTS.md
ACCEPT-A045,AGENTS Appendix B,"A045 acceptance requirement",G15,verify-acceptance-a045,planned,AGENTS.md
ACCEPT-A046,AGENTS Appendix B,"A046 acceptance requirement",G15,verify-acceptance-a046,planned,AGENTS.md
ACCEPT-A047,AGENTS Appendix B,"A047 acceptance requirement",G15,verify-acceptance-a047,planned,AGENTS.md
ACCEPT-A048,AGENTS Appendix B,"A048 acceptance requirement",G15,verify-acceptance-a048,planned,AGENTS.md
ACCEPT-A049,AGENTS Appendix B,"A049 acceptance requirement",G15,verify-acceptance-a049,planned,AGENTS.md
ACCEPT-A050,AGENTS Appendix B,"A050 acceptance requirement",G15,verify-acceptance-a050,planned,AGENTS.md
